"                                                                  "
"                              UNIVERSITY OF CEBU - MAIN                              "
"                            COLLEGE OF COMPUTER STUDIES                            "
"              COMPUTER LABORATORY SITIN MONITORING SYSTEM REPORT                    "
"                                                                  "

"ID Number","Name","Date","Time In","Time Out","Purpose","Lab Room"
"9000","Dadark N Piano","May 14, 2025","02:32 AM","02:46 AM","Digital logic & Design","544"
"3000","Gram T Insta","May 14, 2025","02:31 AM","02:46 AM","Project Management","530"
"5000","Scatter V Unli","May 14, 2025","02:28 AM","02:46 AM","Database","542"
"6000","Cabal V Helix","May 14, 2025","02:28 AM","02:46 AM","Embedded System & IoT","530"
"8000","ting s bag","May 14, 2025","02:28 AM","02:46 AM","Digital logic & Design","526"
"2000","You C Tube","May 14, 2025","02:28 AM","02:46 AM","Embedded System & IoT","524"
"1000","ups c Dags","May 14, 2025","02:27 AM","02:40 AM","C Programming","524"
"9000","Dadark N Piano","May 14, 2025","02:20 AM","02:27 AM","Java Programming","524"
"7000","Kalang G Sakin","May 14, 2025","02:08 AM","02:19 AM","Digital logic & Design","544"
"6000","Cabal V Helix","May 14, 2025","02:06 AM","02:19 AM","Embedded System & IoT","542"
"5000","Scatter V Unli","May 14, 2025","02:04 AM","02:19 AM","System Integration & Architecture","530"
"3000","Gram T Insta","May 14, 2025","02:03 AM","02:19 AM","C# Programming","528"
"2000","You C Tube","May 14, 2025","02:03 AM","02:20 AM","Java Programming","526"
"1000","ups c Dags","May 14, 2025","02:02 AM","02:13 AM","C Programming","524"
"8000","ting s bag","May 14, 2025","01:59 AM","02:00 AM","System Integration & Architecture","524"
"1000","ups c Dags","May 14, 2025","01:58 AM","02:00 AM","C# Programming","526"
"3000","Gram T Insta","May 13, 2025","09:16 PM","09:16 PM","Java Programming","526"
"2000","You C Tube","May 13, 2025","08:50 PM","08:56 PM","C# Programming","530"
"2000","You C Tube","May 13, 2025","01:09 PM","02:38 PM","Java Programming","526"
"6000","","May 13, 2025","10:38 AM","07:35 PM","Others...","544"
"5000","","May 13, 2025","10:37 AM","07:35 PM","System Integration & Architecture","542"
"2000","","May 13, 2025","10:37 AM","07:35 PM","C Programming","528"
"2000","","May 13, 2025","09:06 AM","03:06 PM","Project Management","530"
"5000","","May 13, 2025","09:05 AM","03:06 PM","Digital logic & Design","524"
"6000","","May 13, 2025","09:04 AM","03:06 PM","Computer Application","544"
"3000","","May 13, 2025","09:02 AM","07:35 PM","Java Programming","524"
"6000","","May 13, 2025","08:38 AM","02:38 PM","C Programming","528"
"3000","","May 13, 2025","08:33 AM","02:38 PM","Computer Application","542"
"5000","","May 13, 2025","08:32 AM","02:38 PM","Mobile Application","530"
"5000","Scatter V Unli","May 11, 2025","05:31 PM","05:35 PM","Java Programming","530"
"2000","You C Tube","May 10, 2025","03:37 PM","05:30 PM","Java Programming","528"
